Districts with stations with 0 vs. 600 votes,,,,
Province,District,StationCount,,"Note: There are 34 stations from NA,NA"
Paktika,Giyan,34,,
Paktika,Urgoon,15,,
Paktika,Nika,13,,
Wardak,ChakiWardak,12,,
Paktika,ZarghunShah,11,,
Paktya,JajiAryob,11,,
Paktika,SarRawza,9,,
Paktya,LajaAhmadK,9,,
Paktika,Omna,7,,
Paktya,JaniKhel,7,,
Wardak,SayydAbad,7,,
Ghazni,Andar,7,,
Ghor,Shahrak,6,,
Paktika,Wazakhwah,6,,
Paktika,Barmal,5,,
Paktya,SayyidKaram,5,,
Khost,Gurbuz,5,,
Ghor,CharSada,5,,
Wardak,Daymirdad,4,,
Khost,MusaKhel,4,,
Paktika,Gomal,4,,
Khost,Khost,4,,
Logar,PuliAlam,4,,
Paktya,Samkani,4,,
Paktika,Surubi,3,,
Paktya,DandPatan,3,,
Paktika,WorMamy,3,,
Zabul,Daichopan,3,,
Khost,AliSher,3,,
Kabul,Kabul,3,,
Paktya,WuzaZadran,3,,
Faryab,PashtunKot,2,,
Wardak,Nerkh,2,,
Herat,Shindand,2,,
Khost,Tanay,2,,
Paktya,Ahmadaba,2,,
Badghis,Ghormach,2,,
Paktika,YahyaKhel,2,,
Kapisa,Nijrab,1,,
Paktika,Sharan,1,,
Ghor,Saghar,1,,
Ghor,Duleena,1,,
Paktika,YosufKhel,1,,
Ghor,Dawlatyar,1,,
Ghazni,DehYak,1,,
Kabul,Surubi,1,,
Ghor,Taywara,1,,
Ghor,Tulak,1,,
Nooristan,Wama,1,,
Badakhshan,Tashkan,1,,
