province,district,totalPop
Kabul,KabulCenter,3414100
Kabul,Paghman,120200
Kabul,ChaharAsyab,36200
Kabul,Bagrami,54800
Kabul,Dehsabz,53400
Kabul,ShakarDara,81400
Kabul,Musahi,23100
Kabul,MirBachaKot,51700
Kabul,Khak,14200
Kabul,Kalakan,29900
Kabul,Guldara,22600
Kabul,Farza,21200
Kabul,Estalef,33300
Kabul,QaraBagh,75600
Kabul,Surubi,54800
Kapisa,KapisaCenter,63500
Kapisa,Hissa,44500
Kapisa,KohBand,23200
Kapisa,Hissa,67200
Kapisa,Nijrab,111000
Kapisa,Tagab,80000
Kapisa,Alasai,37400
Parwan,ParwanCenter,174200
Parwan,Bagram,102400
Parwan,Shinwari,40700
Parwan,SayyidKhel,45100
Parwan,Jabulussaraj,63100
Parwan,Salang,25700
Parwan,Syahgird,95500
Parwan,Koh,30700
Parwan,SurkhiParsa,40500
Parwan,ShaykhAli,24400
Wardak,WardakCenter,39900
Wardak,Nerkh,56300
Wardak,Jalrez,52400
Wardak,Chak,83300
Wardak,SayyidAbad,114800
Wardak,DaimirDad,30700
Wardak,Hissa,36600
Wardak,Jaghatu,45200
Wardak,Markaz,117900
Logar,LogarCenter,104500
Logar,BarakiBarak,86500
Logar,Charkh,43900
Logar,Khushi,23800
Logar,MohammadAgha,74600
Logar,KharWar,25900
Logar,Azra,20200
Nangarhar,NangarharCenter,212900
Nangarhar,Behsud,112300
Nangarhar,SurkhRud,119000
Nangarhar,ChaparHar,59600
Nangarhar,Kama,76000
Nangarhar,Kuzkunar,54400
Nangarhar,Rodat,68300
Nangarhar,Khugyani,128900
Nangarhar,BatiKot,74800
Nangarhar,DehBala,39800
Nangarhar,PachirWaagam,42000
Nangarhar,Darah,39800
Nangarhar,Kot,51400
Nangarhar,Goshta,26900
Nangarhar,Achin,99100
Nangarhar,Shinwar,59200
Nangarhar,Muhmand,44400
Nangarhar,Lalpoor,20200
Nangarhar,SherZad,65500
Nangarhar,Nazyan,14600
Nangarhar,Hesarak,30400
Nangarhar,DurBaba,23100
Laghman,LaghmanCenter,128000
Laghman,Qarghayee,96900
Laghman,Alishing,70500
Laghman,Alingar,95600
Laghman,DawlatShah,32900
Laghman,BadPash,7300
Panjsher,PanjsherCenter,18600
