ProvinceName,DistrictName,TurnoutPercent
Paktika,WorMamy,1051.3124465343587
Paktika,Gomal,744.6846712384681
Paktika,Turwo,588.4925149146205
Paktika,Surubi,292.00915063134545
Nooristan,Wama,259.1806775666052
Khost,Qalandar,223.83135322188272
Paktya,Shwak,209.16776759328286
Paktika,ZarghunShah,199.91849747144616
Paktya,Ahmadaba,195.88938914097042
Paktika,Nika,186.52692642122113
Kunar,AsadAbad,181.89376349483393
Nooristan,Paroon,176.52383062512428
Kandahar,Reg,171.37476579535243
Paktika,JaniKhel,171.05951193406094
Nooristan,Barg-E-Matal,169.2212124935989
Baghlan,Jalga,168.2525314410538
Khost,JajiMaidan,164.48464890593388
Paktika,Wazakhwah,158.2765849559392
Panjshir,Paryan,156.71385344669494
Paktya,LajaAhmadK,154.1835123382015
Paktika,YahyaKhel,152.6746937164254
Khost,Khost,149.19042837035016
Kandahar,Shorabak,146.45692847341581
Logar,Azra,143.61088545058539
Khost,Spera,136.55163543219925
Nangarhar,Darah-E-Noor,134.64879348804826
Paktya,DandPatan,128.45240101059366
Khost,Gurbuz,128.38567237371615
Paktika,Omna,128.37176757465275
Paktya,WuzaZadran,126.50954858519097
Nangarhar,DurBaba,126.35501075420738
Baghlan,Gozargah-E-Nur,126.18622900867065
Kabul,Khak-E-Jabar,125.47970687571383
Paktika,SarRawza,123.51213267336232
Paktya,JajiAryob,121.12420331913853
Paktika,YosufKhel,118.40669346243479
Khost,Baak,116.08230011946435
Ghor,Chighcheran,113.76533504160864
Bamyan,Saighan,113.53940644130331
Kandahar,Nish,112.76953411414662
Paktika,DilaWaKhush,109.6677668577577
Baghlan,TalaWaBarf,107.36700894067263
Ghor,CharSada,106.67960091559898
Kandahar,Daman,106.00533720726504
Khost,AliSher,104.90156848367442
Balkh,Marmul,104.06340099370595
Ghor,Dawlatyar,103.53260035191863
Kabul,Surubi,103.32200752735226
Paktika,Ziruk,103.21527543079851
Kandahar,Maruf,102.9404164408274
Daykundi,Geti,101.97114826949942
Paktika,Sharan,101.26243879637656
Kandahar,SpinBoldak,101.0776327722646
Paktika,Giyan,100.7313938108691
Paktika,Barmal,100.6648282834378
Kunar,KhasKunar,99.33290209987605
Baghlan,FiringWaGharu,99.28286299198606
Baghlan,Burka,98.67216361765595
Paktya,Samkani,97.68190213273236
Kunar,ShigalWaShi,96.86346229208759
Khost,Manduzay,96.86055669707982
Khost,Tanay,95.02570721255728
Paktika,Urgoon,94.13565221257943
Herat,Chisht-E-Shar,92.78294108812015
Paktya,SayyidKaram,92.4851271758994
Ghor,Tulak,92.4536123138128
Zabul,Qalat,92.03595231377054
Khost,NadirshahKo,91.78801583170002
Paktya,JaniKhel,91.54991735621722
Faryab,Andkhoy,90.85025373941168
Khost,MusaKhel,89.92471543384936
Wardak,ChakiWardak,88.67480788167016
Bamyan,Shebar,88.48351913481825
Daykundi,Khedir,88.02113230948076
Zabul,Atghar,87.72448975079344
Faryab,Maimana,86.98023796912238
Wardak,Daymirdad,86.12437300279451
Ghor,Saghar,86.10652695226118
Ghazni,Malistan,85.90011824484898
Badghis,Jawand,85.56039517785197
Baghlan,Nahreen,84.87994237066435
Ghor,Duleena,84.18001253507713
Nangarhar,Goshta,83.83079407633377
Wardak,SayydAbad,82.48926950767286
Panjshir,Unaba,82.1517334902454
Baghlan,Andarab,79.69055888767251
Kandahar,Ghorak,79.19078913410101
Bamyan,Kahmard,78.99357171483993
Badakhshan,Darwaz-E-Bal,78.96830330573457
Nooristan,Waygal,78.7914417190166
Wardak,MaydanShah,78.27589962349597
Badakhshan,Yaftal-E-Sufla,77.784719067335
Kunar,Narang,77.54767791134607
Ghor,Shahrak,77.02072290463373
Takhar,Kalafgan,76.92506180615402
Kunar,Nari,76.42949443148034
Khost,Shamul,76.13623678570669
Badakhshan,Tashkan,75.66609556667838
Badakhshan,Kohistan,75.6489618916061
Daykundi,Miramor,74.29633379773601
Baghlan,KhostWaFiri,74.25879559396053
Ghazni,Nawur,74.15535497314315
Sar-E-Pul,Balkhab,73.39488321431385
Badakhshan,Yawan,73.1897305723118
Nangarhar,KuzKunar,73.01716276645315
Daykundi,Ishterlai,72.58025630312724
Kunar,MaraWara,71.75632044168331
Kunar,Sawkai,70.69789526000386
Ghazni,Jaghatu,70.08563161673854
Baghlan,DehSalah,69.57002008968666
Nangarhar,Nazyan,69.50073284362031
Kabul,Bagrami,69.10512377274272
Faryab,Gurziwan,68.79753148060108
Kandahar,Arghistan,68.45316916447932
Takhar,Dasht-E-Qala,68.21736363353
Farah,PurChaman,68.01618526395497
Samangan,KhuramWaSabagh,67.99820680342354
Laghman,Mehtarlam,67.66518994446318
Kapisa,KohBand,67.55069723728134
Faryab,KhwajaSabzPosh,67.52484895013538
Balkh,Nahr-E-Shahi,67.43439539025691
Takhar,Baharak,67.4135055402225
Badakhshan,FaizAbad,66.87761889809119
Ghor,LalWaSarjan,66.08928625943193
Balkh,Zari,66.05497649757719
Badakhshan,KiranWaMenjan,65.80488645401226
Daykundi,Sang-E-Takht,65.40481595896316
Badakhshan,Ragistan,63.63178658651358
Faryab,BilChiragh,63.56859946294679
Panjshir,Darah,63.213345775429424
Kunar,Dara-E-Pech,62.43951663025039
Daykundi,Shahristan,62.24313830516361
Daykundi,Nili,62.20675723209456
Paktika,MataKhan,62.094911150114655
Parwan,Jabulussaraj,61.9748479635924
Kunar,Dangam,61.07191829795009
Badakhshan,Kufab,61.035021355842495
Jawzjan,Sheberghan,60.98408801781471
Herat,Fersi,60.98216623669545
Samangan,Aybak,60.892827051421115
Samangan,Roi-Do-Ab,60.56520353598031
Wardak,Jaghatu,60.21505829925949
Badghis,Qala-E-Now,59.91492786856952
Nooristan,Duab,59.3577775415424
Nimroz,Zaranj,59.198181646682876
Badakhshan,Wakhan,58.44285395425808
Samangan,Dara-E-Soof-E-Bala,58.38948891457851
Parwan,Bagram,58.23623845509265
Nangarhar,MuhmandDara,57.79646870049878
Ghazni,Jaghuri,57.782928740017795
Nangarhar,Jalalabad,57.565793083946026
Herat,Kohsan,57.500781829098244
Takhar,KhwajaBaha,57.41892230898756
Badakhshan,Argo,57.32919069171979
Herat,Herat,57.294568194771145
Bamyan,Yakawlang,56.536074759325395
Baghlan,Pul-E-Khumri,56.51101186206711
Wardak,Nerkh,56.035672862516435
Badakhshan,Eshkashim,55.792212638388
Nangarhar,Kama,55.78406076936597
Balkh,Kaldar,55.64616786955948
Takhar,Eshkamesh,55.61373602824349
Herat,Adraskan,55.439481865523256
Panjshir,Shutul,55.320635274402385
Nangarhar,Behsud,55.2120604915087
Badakhshan,Darayim,55.14700729064743
Kunar,SarKani,55.01892421947306
Kunar,Watapoor,54.28367810630996
Baghlan,Baglan-E-Jade,54.27245308726472
Kunar,BarKunar,53.55655789709942
Takhar,KhwajaGhar,53.339996169647016
Takhar,HazarSumuc,53.306457490835676
Takhar,Warsaj,53.1612537986686
Laghman,Qarghayee,52.991966858965384
Panjshir,Bazarak,52.929280904346925
Samangan,Dara-E-Soof-E-Payin,52.8482767937899
Kunduz,AliAbad,52.80750900632746
Balkh,Dehdadi,52.64601598703374
Jawzjan,QushTepa,52.42976384050826
Samangan,FerozNakhchi,52.36488157928786
Balkh,Mazar-E-Sharif,52.181869960289475
Logar,MohammadA,52.13868965658476
Bamyan,Panjab,51.828506516051455
Logar,PuliAlam,51.48118014411444
Takhar,Farkhar,51.29668936889718
Kabul,ChaharAsyab,51.16959517290457
Badakhshan,Shahr-E-Buzurg,51.01753693585317
Baghlan,Dushi,50.838688112832784
Badakhshan,Zebak,50.239791339446974
Faryab,Qaisar,50.056948843542024
Faryab,KhaniCharba,49.943485426858295
Badakhshan,Kishm,49.65267374620727
Kunar,ChapaDara,49.64085540917423
Jawzjan,KhwajaDuko,49.607767462644745
Nangarhar,Chaparhar,49.403475081055724
Paktya,Gardez,49.10526601810004
Faryab,ShirinTagab,48.501291575694495
Bamyan,Bamyan,48.19703505398301
Kunar,NoorGal,48.08451389029185
Takhar,Taluqan,47.609670240578176
Takhar,Chal,47.4166690770735
Badakhshan,Yamgan,47.31764218596165
Bamyan,Waras,47.237269430604776
Takhar,Bangi,46.808930044753154
Herat,Kushk-E-Kuhn,46.78665110884748
Samangan,Hazrat-E-TSultan,46.784863091556765
Panjshir,Hissa-E-Awal,46.75553659023842
Daykundi,Kejran,46.716543998612195
Badakhshan,Shighnan,46.687581706369585
Laghman,DawlatShah,46.219325480779595
Takhar,ChahAb,45.924788166029025
Herat,Enjil,45.68339545145202
Kapisa,Hissa-E-Awali,45.68122715713245
Nooristan,Kamdesh,45.67446685433222
Badakhshan,Darwaz-E-Pay,45.01332692063271
Nangarhar,Rodat,44.86057834741953
Nooristan,NoorGram,44.77618956702844
Parwan,Salang,44.60909109912136
Faryab,Almar,44.40230361018225
Baghlan,Khinjan,44.366874969066366
Baghlan,Dahana-E-Ghuri,44.346710540791136
Ghazni,Andar,44.21232304366855
Kandahar,Panjwayee,43.727969604731584
Badakhshan,Baharak,43.15102919564187
Ghazni,QaraBagh,42.792629786563026
Kandahar,ShahWaliKot,42.7510608883462
Sar-E-Pul,SozmaQala,42.27567118354136
Balkh,Kishindeh,41.940987537295086
Wardak,Markaz-E-Beh,41.90102908805531
Takhar,Rustaq,41.73313293758183
Badghis,Qadis,41.611327986515576
Badakhshan,Khwahan,40.99260362657522
Sar-E-Pul,Gosfandi,40.90878362752189
Badakhshan,Shiki,40.89444643699823
Wardak,Hissa-E-Awali,40.700176199647515
Faryab,PashtunKot,40.673866756550154
Panjshir,Rukha,40.5824297786697
Zabul,Shinkai,40.273915367480754
Herat,Ghoryan,40.05718181935056
Zabul,TarankWaJa,39.75403584278076
Ghor,Taywara,39.72795618229791
Faryab,Kohistan,39.69930183222635
Jawzjan,Qarqin,39.55316365046704
Kabul,Dehsabz,39.3906370101991
Kapisa,Nijrab,39.268591809764224
Badakhshan,Shuhada,39.131212257141755
Balkh,Sholgara,38.90854000487175
Faryab,QaramQul,38.53407471267595
Nangarhar,SurkhRud,38.443892984035465
Ghazni,Ghazni,38.29239920546622
Kabul,Musahi,37.774332712920994
Badghis,AbKamari,37.6539793706488
Takhar,NamakAb,37.52816513182297
Kunduz,Kunduz,37.480316945823425
Kabul,Farza,37.15612384014196
Farah,Farah,36.89347729853237
Takhar,YangiQala,36.74522005341791
Helmand,Lashkargah,36.502968995619625
Herat,Zendajan,35.27891123896001
Balkh,Balkh,34.82486510114081
Herat,Kushk(Rubat-E,34.79487005803265
Sar-E-Pul,Sar-E-Pul,34.581673833713076
Parwan,ShaykhAli,34.42914577167354
Parwan,Charikar,34.296984929011785
Jawzjan,Khamyab,34.10444601368024
Herat,Guzara,33.730867543896466
Sar-E-Pul,Kohistanat,33.37802563354064
Kabul,Kalakan,33.247558937261765
Kapisa,MahmudiRaq,33.17343551500495
Balkh,Shortepa,33.131632161808454
Khost,Sabari,32.924683592622536
Parwan,SayidKhial,32.79247146127409
Herat,PashtunZarg,32.019447177686864
Zabul,Mizan,31.945710258774128
Sar-E-Pul,SangCharak,31.79538806910951
Badghis,Muqur,31.674691643609457
Badakhshan,ArghanjKhwa,31.49149514099887
Balkh,CharBolak,31.244168814631156
Kabul,Kabul,30.903451035161673
