Province,District,AbdullahVotes,GhaniVotes,PopulationVoted,TotalPopulation,TurnoutPercent
Paktika,Barmal,6928,15756,22684,34400,65.94186047
Parwan,Shinwari,618,1946,2564,40700,6.2997543
Kapisa,Nijrab,25915,2638,28553,111000,25.72342342
Badghis,Muqur,2515,2361,4876,23500,20.74893617
Kunar,AsadAbad,2646,36555,39201,32900,119.1519757
Zabul,NawBahar,77,1392,1469,18600,7.897849462
Wardak,Daymirdad,409,16911,17320,30700,56.41693811
Khost,MusaKhel,162,23754,23916,40600,58.90640394
Wardak,Hissa-E-Awali,5980,3778,9758,67200,14.52083333
Jawzjan,Sheberghan,8560,57315,65875,164900,39.94845361
Kabul,Dehsabz,4132,9647,13779,53400,25.80337079
Kunduz,KhanAbad,11973,13362,25335,159100,15.9239472
Ghor,Shahrak,13471,16347,29818,59100,50.4534687
Bamyan,Saighan,14105,3522,17627,23700,74.37552743
Farah,Bakwa,75,2399,2474,35100,7.048433048
Ghazni,KhwajaOmar,1376,278,1654,50200,3.294820717
Baghlan,Jalga,21706,4305,26011,23600,110.2161017
Panjshir,Unaba,8983,596,9579,17800,53.81460674
Kunar,GhaziAbad,478,1443,1921,18500,10.38378378
Jawzjan,Mingajik,1954,2462,4416,42400,10.41509434
Paktika,Omna,438,9653,10091,12000,84.09166667
Faryab,Gurziwan,20650,13105,33755,74900,45.06675567
Takhar,Chal,5598,3068,8666,27900,31.0609319
Parwan,SurkhiParsa,5668,1183,6851,40500,16.91604938
Panjshir,Darah,5368,305,5673,13700,41.40875912
Nangarhar,DehBala,19,146,165,39800,0.414572864
Nangarhar,KuzKunar,12633,13387,26020,54400,47.83088235
Wardak,Nerkh,1445,19221,20666,56300,36.70692718
Zabul,TarankWaJa,401,4000,4401,16900,26.04142012
Urozgan,KhasUrozgan,1296,4526,5822,55900,10.41502683
Herat,Gulran,14693,4143,18836,93100,20.23200859
Kapisa,Tagab,744,3365,4109,80000,5.13625
Zabul,ShemelZayi,469,1010,1479,25500,5.8
Badghis,Qadis,16616,7889,24505,89900,27.25806452
Baghlan,Khinjan,7131,1617,8748,30100,29.06312292
Baghlan,Andarab,10932,2223,13155,25200,52.20238095
Kunar,Sawkai,1695,14653,16348,35300,46.31161473
Paktika,Surubi,2425,21103,23528,12300,191.2845528
Parwan,Salang,7267,243,7510,25700,29.22178988
Kabul,Bagrami,6341,18466,24807,54800,45.26824818
Kapisa,KohBand,9393,873,10266,23200,44.25
Herat,Enjil,54977,17353,72330,241700,29.92552751
Paktya,DandPatan,1115,21015,22130,26300,84.14448669
Kunar,BarKunar,1561,6052,7613,21700,35.08294931
Badakhshan,Darwaz-E-Bal,11010,836,11846,22900,51.72925764
Khost,NadirshahKo,324,18616,18940,31500,60.12698413
Paktya,Shwak,1022,6514,7536,5500,137.0181818
Herat,Chisht-E-Shar,8579,5704,14283,23500,60.7787234
Paktika,Ziruk,931,11983,12914,19100,67.61256545
Panjshir,Bazarak,6071,378,6449,18600,34.67204301
Kandahar,Arghandab,2663,5369,8032,61200,13.12418301
Khost,Manduzay,954,34451,35405,55800,63.44982079
Khost,Sabari,220,14899,15119,70100,21.56776034
Takhar,YangiQala,5044,5547,10591,44000,24.07045455
Baghlan,Baglan-E-Jade,14289,46327,60616,170500,35.55190616
Samangan,Aybak,20567,20279,40846,102400,39.88867188
Bamyan,Panjab,17620,5229,22849,67300,33.95096582
Badakhshan,Yawan,13046,2344,15390,32100,47.94392523
Baghlan,TalaWaBarf,13609,7350,20959,29800,70.33221477
Badakhshan,Khash,5567,1173,6740,37700,17.87798408
Kandahar,Maruf,3828,18155,21983,32600,67.43251534
Kunar,SarKani,991,8704,9695,26900,36.04089219
Badakhshan,Yaftal-E-Sufla,22975,3572,26547,52100,50.95393474
Kandahar,Arghistan,3835,11411,15246,34000,44.84117647
Nimroz,Khashrod,159,210,369,25100,1.470119522
Paktya,SayyidKaram,857,32464,33321,55000,60.58363636
Faryab,Maimana,5982,39771,45753,80300,56.97758406
Daykundi,Sang-E-Takht,16640,4825,21465,50100,42.84431138
Herat,Fersi,9347,2757,12104,30300,39.94719472
Paktika,DilaWaKhush,612,17276,17888,24900,71.83935743
Helmand,Nahr-E-Saraj,2553,2828,5381,116100,4.634797588
Nangarhar,SherZad,1527,4424,5951,65500,9.085496183
Sar-E-Pul,Sayad,3667,3942,7609,53900,14.11688312
Baghlan,Pul-E-Hisar,3560,476,4036,27300,14.78388278
Helmand,Lashkargah,7426,16964,24390,102000,23.91176471
Ghor,LalWaSarjan,36931,10994,47925,100700,47.591857
Farah,Qala-E-Kah,1624,731,2355,30400,7.746710526
Ghazni,Muqur,741,3914,4655,49700,9.366197183
Faryab,PashtunKot,19572,30119,49691,186500,26.64396783
Badakhshan,Shahr-E-Buzurg,15340,1938,17278,51700,33.41972921
Badakhshan,Khwahan,3634,743,4377,16300,26.85276074
Kapisa,MahmudiRaq,10886,2913,13799,63500,21.73070866
Kandahar,Daman,2650,21168,23818,34300,69.44023324
Zabul,Mizan,193,2653,2846,13600,20.92647059
Kapisa,Hissa-E-Awali,19396,713,20109,67200,29.92410714
