province,district,totalVotes
Kabul,Kabul Center,3414100
Kabul,Paghman,120200
Kabul,Chahar Asyab,36200
Kabul,Bagrami,54800
Kabul,DehSabz,53400
Kabul,Shakar Dara,81400
Kabul,Musahi,23100
Kabul,Mir Bacha kot,51700
Kabul,Khak,14200
Kabul,Kalakan,29900
Kabul,Guldara,22600
Kabul,Farza,21200
Kabul,Estalef,33300
Kabul,Qara Bagh,75600
Kabul,Surubi,54800
Kapisa,Kapisa Center,63500
Kapisa,Hissa,44500
Kapisa,Koh Band,23200
Kapisa,Hissa,67200
Kapisa,Nijrab,111000
Kapisa,Tagab,80000
Kapisa,Alasai,37400
Parwan,Parwan Center,174200
Parwan,Bagram,102400
Parwan,Shinwari,40700
Parwan,Sayyid  Khel,45100
Parwan,Jabulussaraj,63100
Parwan,Salang,25700
Parwan,syahgird,95500
Parwan,Koh,30700
Parwan,Surkhi  parsa,40500
Parwan,Shaykh  Ali,24400
Wardak,Wardak  Center,39900
Wardak,Nerkh,56300
Wardak,Jalrez,52400
Wardak,Chak,83300
Wardak,Sayyid Abad,114800
Wardak,Daimir Dad,30700
Wardak,Hissa,36600
Wardak,Jaghatu,45200
Wardak,Markaz,117900
Logar,Logar Center,104500
Logar,Baraki Barak,86500
Logar,Charkh,43900
Logar,khushi,23800
Logar,Mohammad Agha,74600
Logar,Khar war,25900
Logar,Azra,20200
Nangarhar,Nangarhar Center,212900
Nangarhar,Behsud,112300
Nangarhar,Surkh Rud,119000
Nangarhar,Chapar har,59600
Nangarhar,Kama,76000
Nangarhar,Kuzkunar,54400
Nangarhar,Rodat,68300
Nangarhar,Khugyani,128900
Nangarhar,Bati Kot,74800
Nangarhar,Deh Bala,39800
Nangarhar,Pachir Waagam,42000
Nangarhar,Darah,39800
Nangarhar,Kot,51400
Nangarhar,Goshta,26900
Nangarhar,Achin,99100
Nangarhar,Shinwar,59200
Nangarhar,Muhmand,44400
Nangarhar,Lalpoor,20200
Nangarhar,Sher Zad,65500
Nangarhar,Nazyan,14600
Nangarhar,Hesarak,30400
Nangarhar,Dur  Baba,23100
Laghman,Laghman Center,128000
Laghman,Qarghayee,96900
Laghman,Alishing,70500
Laghman,Alingar,95600
Laghman,Dawlat Shah,32900
Laghman,Bad pash,7300
