"Turnout Rate vs. District, sorted",,,,,
Province Name,District Name,Turnout Rate (%),,,"Note: There are 119795 votes from turnout data labeled to be from (NA,NA)"
Paktika,WorMamy,688.676,,,
Paktika,Gomal,487.816,,,
Paktika,Turwo,385.500,,,
Paktika,Surubi,191.285,,,
Nooristan,Wama,169.780,,,
Khost,Qalandar,146.624,,,
Paktya,Shwak,137.018,,,
Paktika,ZarghunShah,130.959,,,
Paktya,Ahmadaba,128.320,,,
Paktika,Nika,122.187,,,
Kunar,AsadAbad,119.152,,,
Nooristan,Paroon,115.634,,,
Kandahar,Reg,112.261,,,
Paktika,JaniKhel,112.055,,,
Nooristan,Barg-E-Matal,110.851,,,
Baghlan,Jalga,110.216,,,
Khost,JajiMaidan,107.748,,,
Paktika,Wazakhwah,103.681,,,
Panjshir,Paryan,102.658,,,
Paktya,LajaAhmadK,101.000,,,
Paktika,YahyaKhel,100.012,,,
Khost,Khost,97.729,,,
Kandahar,Shorabak,95.939,,,
Logar,Azra,94.074,,,
Khost,Spera,89.450,,,
Nangarhar,Darah-E-Noor,88.204,,,
Paktya,DandPatan,84.144,,,
Khost,Gurbuz,84.101,,,
Paktika,Omna,84.092,,,
Paktya,WuzaZadran,82.872,,,
Nangarhar,DurBaba,82.771,,,
Baghlan,Gozargah-E-Nur,82.660,,,
Kabul,Khak-E-Jabar,82.197,,,
Paktika,SarRawza,80.908,,,
Paktya,JajiAryob,79.344,,,
Paktika,YosufKhel,77.564,,,
Khost,Baak,76.041,,,
Ghor,Chighcheran,74.524,,,
Bamyan,Saighan,74.376,,,
Paktika,DilaWaKhush,71.839,,,
Badakhshan,FaizAbad,70.350,,,
Baghlan,TalaWaBarf,70.332,,,
Ghor,CharSada,69.882,,,
Kandahar,Daman,69.440,,,
Samangan,Dara-E-Soof-E-Xxxxxx,69.238,,,
Khost,AliSher,68.717,,,
Balkh,Marmul,68.168,,,
Ghor,Dawlatyar,67.823,,,
Kabul,Surubi,67.682,,,
Paktika,Ziruk,67.613,,,
Kandahar,Maruf,67.433,,,
Daykundi,Geti,66.798,,,
Paktika,Sharan,66.333,,,
Kandahar,SpinBoldak,66.212,,,
Paktika,Giyan,65.985,,,
Paktika,Barmal,65.942,,,
Kandahar,Nish,65.443,,,
Kunar,KhasKunar,65.069,,,
Baghlan,FiringWaGharu,65.037,,,
Baghlan,Burka,64.637,,,
Takhar,ChahAb,64.572,,,
Paktya,Samkani,63.988,,,
Kunar,ShigalWaShi,63.452,,,
Khost,Manduzay,63.450,,,
Khost,Tanay,62.248,,,
Paktika,Urgoon,61.665,,,
Herat,Chisht-E-Shar,60.779,,,
Paktya,SayyidKaram,60.584,,,
Ghor,Tulak,60.563,,,
Zabul,Qalat,60.289,,,
Khost,NadirshahKo,60.127,,,
Paktya,JaniKhel,59.971,,,
Faryab,Andkhoy,59.513,,,
Khost,MusaKhel,58.906,,,
Wardak,ChakiWardak,58.088,,,
Bamyan,Shebar,57.962,,,
Daykundi,Khedir,57.659,,,
Zabul,Atghar,57.465,,,
Faryab,Maimana,56.978,,,
Wardak,Daymirdad,56.417,,,
Ghor,Saghar,56.405,,,
Ghazni,Malistan,56.270,,,
Badghis,Jawand,56.047,,,
Baghlan,Nahreen,55.602,,,
Ghor,Duleena,55.143,,,
Nangarhar,Goshta,54.914,,,
Wardak,SayydAbad,54.036,,,
Panjshir,Unaba,53.815,,,
Baghlan,Andarab,52.202,,,
Kandahar,Ghorak,51.875,,,
Bamyan,Kahmard,51.746,,,
Badakhshan,Darwaz-E-Bal,51.729,,,
Nooristan,Waygal,51.613,,,
Wardak,MaydanShah,51.276,,,
Badakhshan,Yaftal-E-Sufla,50.954,,,
Kunar,Narang,50.799,,,
Ghor,Shahrak,50.453,,,
Takhar,Kalafgan,50.391,,,
Kunar,Nari,50.066,,,
Khost,Shamul,49.874,,,
Badakhshan,Tashkan,49.566,,,
Badakhshan,Kohistan,49.555,,,
Daykundi,Miramor,48.669,,,
Baghlan,KhostWaFiri,48.644,,,
Ghazni,Nawur,48.576,,,
Sar-E-Pul,Balkhab,48.078,,,
